;author;created_at;cleaned_tweets
0;guardian;Tue Aug 27 15:32:19 +0000 2024;I only play goddesses now Janet McTeer on starring in Succession with gods drama Kaos
1;guardian;Tue Aug 27 15:20:23 +0000 2024;Millions loved the Notting Hill carnival but there was too much crime As an excop I could make it better Leroy Logan
2;guardian;Tue Aug 27 14:56:09 +0000 2024;Calls to close vile website ranking countries by tourist deaths on balconies
3;guardian;Tue Aug 27 14:38:39 +0000 2024;One price for locals another for tourists Lisbon restaurants secret tax on outoftowners
4;guardian;Tue Aug 27 14:34:00 +0000 2024;Guardian Weekly readers share your best recent pictures with us
5;guardian;Tue Aug 27 14:13:58 +0000 2024;Francis Ford Coppola confirms he kissed extras on Megalopolis set
6;guardian;Tue Aug 27 13:28:33 +0000 2024;UK gangster Curtis Warren admits breaches of crime prevention order
7;guardian;Tue Aug 27 13:08:03 +0000 2024;Path clears for Paramount merger with Skydance after Bronfman drops bid
8;guardian;Tue Aug 27 12:53:48 +0000 2024;What the Telegram founders arrest means for the regulation of social media firms
9;guardian;Tue Aug 27 12:31:05 +0000 2024;Mexico protests and a human pyramid photos of the day Tuesday
10;guardian;Tue Aug 27 12:09:00 +0000 2024;Share your reaction to the Oasis reunion
11;guardian;Tue Aug 27 12:06:27 +0000 2024;Three men arrested over stabbing of woman at Notting Hill carnival
12;guardian;Tue Aug 27 11:30:51 +0000 2024;Rescuers search rubble after hotel struck in Ukraines Kryvyi Rih video
13;guardian;Tue Aug 27 11:06:40 +0000 2024;So Starbucks CEO commutes to work by private jet Lets not pretend the superrich care about the planet Arwa Mahdawi
14;guardian;Tue Aug 27 10:55:39 +0000 2024;Here it is the new right playbook wreck and impoverish the country enjoy the high life yourself Owen Jones
15;guardian;Tue Aug 27 10:31:50 +0000 2024;Its 2024 and I might be the last person on earth to watch The Walking Dead What a loser Zoe Williams
16;guardian;Tue Aug 27 10:11:57 +0000 2024;ExParalympian Tanni GreyThompson forced to crawl off train
17;guardian;Tue Aug 27 09:57:23 +0000 2024;Australias right to disconnect laws are here But how do they work video
18;guardian;Tue Aug 27 09:16:34 +0000 2024;Plibersek denies sacred site decision blocks NSW goldmine calls on Coalition to support Indigenous heritage
19;guardian;Tue Aug 27 09:00:30 +0000 2024;Keir Starmer to deliver speech on rooting out years of rot left by Conservatives UK politics live
20;guardian;Tue Aug 27 08:46:19 +0000 2024;NHS referrals for anxiety in children more than double preCovid levels
21;guardian;Tue Aug 27 08:38:23 +0000 2024;Share your reaction to the Oasis reunion
22;guardian;Tue Aug 27 08:25:21 +0000 2024;I dont form sensory memories Ive learned my inner life is vastly different from everyone I know Sadie Dingfelder
23;guardian;Tue Aug 27 08:07:47 +0000 2024;Can upstate New York become the next Silicon Valley This exNvidia founder thinks so
24;guardian;Tue Aug 27 07:52:08 +0000 2024;I feel like I love everyone here Notting Hill carnival continues to defy division photo essay
25;guardian;Tue Aug 27 07:36:08 +0000 2024;Its amazing talk of Oasis reunion sparks excitement in Manchester
26;guardian;Tue Aug 27 07:23:11 +0000 2024;Workers prioritising employers that offer sabbaticals in worklife balance shift
27;guardian;Tue Aug 27 07:02:38 +0000 2024;Oasis reunion confirmed for UK and Ireland tour in 2025
28;guardian;Tue Aug 27 06:59:43 +0000 2024;Chinese military plane carries out first violation of Japanese airspace
29;guardian;Tue Aug 27 06:47:07 +0000 2024;Crocodile culling an ineffective and expensive way to reduce attacks Northern Territory study finds
30;guardian;Tue Aug 27 06:34:15 +0000 2024;From kimchi to kombucha its easy to ferment at home Heres all the kit you need
31;guardian;Tue Aug 27 06:20:10 +0000 2024;UN chief there is no way to keep 15C alive without a fossil fuels phaseout video
32;guardian;Tue Aug 27 06:06:45 +0000 2024;Russia launches fresh wave of deadly strikes on Ukraine
33;guardian;Tue Aug 27 05:55:40 +0000 2024;SNP will lose Scottish election without complete rethink say senior party figures
34;guardian;Tue Aug 27 05:43:16 +0000 2024;I remember crying walking into school having anxiety as a child
35;guardian;Tue Aug 27 05:29:07 +0000 2024;Jawdropping number of children in England with anxiety shocks even professionals
36;guardian;Tue Aug 27 05:16:34 +0000 2024;Only Murders in the Building season four review by far the funniest thing on TV
37;guardian;Tue Aug 27 05:01:09 +0000 2024;Women feel like failures if they havent had a normal birth how the NCT has shaped childbirth in the UK
38;guardian;Tue Aug 27 04:44:02 +0000 2024;The cocaine kingpins wildest legacy what can be done with Pablo Escobars marauding hippos
39;guardian;Tue Aug 27 04:32:02 +0000 2024;I just feel pain Pokrovsk packs up as Russian invaders close in
40;BBCWorld;Tue Aug 27 15:31:28 +0000 2024;Palestinian health ministry says six killed in West Bank attacks
41;BBCWorld;Tue Aug 27 15:10:45 +0000 2024;People trapped in midair after ride malfunctions in Australia
42;BBCWorld;Tue Aug 27 14:58:19 +0000 2024;Zuckerberg regrets bowing to Biden pressure over Covid
43;BBCWorld;Tue Aug 27 14:38:01 +0000 2024;Israeli settlers are seizing Palestinian land under cover of war they hope permanently
44;BBCWorld;Tue Aug 27 13:41:21 +0000 2024;Judge orders Pharma Bro Shkreli to return rare WuTang album
45;BBCWorld;Tue Aug 27 13:37:18 +0000 2024;Bid to add soldiers name to memorial 50 years on
46;BBCWorld;Tue Aug 27 13:17:19 +0000 2024;Tear gas fired at protesters angry at Indian doctors murder
47;BBCWorld;Tue Aug 27 12:54:07 +0000 2024;Israel says it has rescued a hostage being held by Hamas during a complex operation in southern Gaza
48;BBCWorld;Tue Aug 27 12:52:31 +0000 2024;Israel rescues Bedouin hostage held by Hamas in Gaza
49;BBCWorld;Tue Aug 27 12:19:18 +0000 2024;Migration to Ireland at highest level since 2007
50;BBCWorld;Tue Aug 27 12:14:55 +0000 2024;Brazil suspects criminals set record So Paulo fires
51;BBCWorld;Tue Aug 27 11:54:06 +0000 2024;Government to spend 105m on new EU border checks
52;BBCWorld;Tue Aug 27 11:53:04 +0000 2024;Where can Africa win medals at the Paralympics
53;BBCWorld;Tue Aug 27 11:13:58 +0000 2024;ExDemocrat Tulsi Gabbard officially endorses Trump
54;BBCWorld;Tue Aug 27 09:56:55 +0000 2024;Elderly womans killer released for second time to fight in Ukraine
55;BBCWorld;Tue Aug 27 09:43:58 +0000 2024;Nigeria appoint former Stuttgart boss Labbadia
56;BBCWorld;Tue Aug 27 08:38:11 +0000 2024;Toplevel meeting shows China and Xi still a priority for Biden
57;BBCWorld;Tue Aug 27 07:35:20 +0000 2024;WWE icon Sid Vicious Eudy dies aged 63
58;BBCWorld;Tue Aug 27 07:04:12 +0000 2024;Djokovic starts bid for record 25th major with win
59;BBCWorld;Tue Aug 27 05:56:57 +0000 2024;Why are people in Ireland drinking less alcohol
60;BBCWorld;Tue Aug 27 05:52:30 +0000 2024;ICC Womens T20 World Cup 2024 schedule amp fixtures
61;BBCWorld;Tue Aug 27 04:38:42 +0000 2024;Australia introduces cap on international students
62;BBCWorld;Tue Aug 27 03:28:50 +0000 2024;Japan says Chinese spy plane violated its airspace
63;BBCWorld;Tue Aug 27 02:48:04 +0000 2024;Catcher plays for both teams in same baseball game
64;BBCWorld;Tue Aug 27 02:33:06 +0000 2024;ABC is a disgrace Trump on the looming debate
65;BBCWorld;Tue Aug 27 02:18:06 +0000 2024;Has Israel taken enough action to prevent alleged incitement to genocide
66;BBCWorld;Tue Aug 27 02:18:06 +0000 2024;Surging seas are coming for us all warns UN chief
67;BBCWorld;Tue Aug 27 02:14:01 +0000 2024;Texas judge blocks Biden plan for migrant spouses
68;BBCWorld;Tue Aug 27 02:02:04 +0000 2024;Lake Tahoe in US sees first August snow in 20 years
69;BBCWorld;Tue Aug 27 01:48:04 +0000 2024;Ikea trials resale website to rival eBay and Gumtree
70;BBCWorld;Tue Aug 27 01:46:52 +0000 2024;Canada to hit Chinese electric cars with 100 tariff
71;BBCWorld;Tue Aug 27 01:33:04 +0000 2024;US lawmakers tour site of Trump assassination attempt
72;BBCWorld;Tue Aug 27 01:30:35 +0000 2024;US soldier who fled to North Korea to plead guilty to desertion
73;BBCWorld;Tue Aug 27 01:10:24 +0000 2024;Mariah Careys mother and sister die on the same day
74;BBCWorld;Tue Aug 27 00:58:27 +0000 2024;Have Swiss scientists made a chocolate breakthrough
75;BBCWorld;Tue Aug 27 00:50:32 +0000 2024;I found out that my son had died on social media
76;BBCWorld;Tue Aug 27 00:42:44 +0000 2024;Heritage under attack Ukrainians revive interest in culture
77;BBCWorld;Mon Aug 26 23:49:55 +0000 2024;Former cop arrested for fatally shooting US airman
78;BBCWorld;Mon Aug 26 23:18:01 +0000 2024;Macron rules out leftist PM as crisis continues
79;BBCWorld;Mon Aug 26 21:04:19 +0000 2024;Nostalgic Indians flock to cinemas to watch old hits
80;nytimes;Tue Aug 27 15:51:50 +0000 2024;What is it like to make a sprawling prequel that possibly be the most extravagant show of all time I spoke to the showrunn
81;nytimes;Tue Aug 27 15:42:34 +0000 2024;Breaking News Donald Trump plans to name his former rival Robert F Kennedy Jr and Tulsi Gabbard a onetime Democrat as honorary cochairs of his presidential transition team that will help him select policies and personnel
82;nytimes;Tue Aug 27 15:30:20 +0000 2024;From The Premier Leagues most miserable club has endured a torrid start to the new season and things could get worse before they get better
83;nytimes;Tue Aug 27 15:15:08 +0000 2024;In Talking to 14 young undecided voters Patrick Healy heard from several that they were more likely to vote for Kamala Harris after her convention speech and her comments on abortion rights gun violence the economy and democracy
84;nytimes;Tue Aug 27 15:00:23 +0000 2024;Pavel Durov the Russianborn entrepreneur who founded the Telegram messaging platform was arrested in France as part of an investigation by French prosecutors into criminal activities on the app Heres what we know and what happens next
85;nytimes;Tue Aug 27 14:55:02 +0000 2024;Russia launched new missile and drone attacks on Kyiv and several other large Ukrainian cities on Tuesday the second day of a deadly farreaching bombing campaign that comes as Moscow fights to fend off a Ukrainian offensive on Russian soil
86;nytimes;Tue Aug 27 14:45:05 +0000 2024;Hezbollah and Israel appeared to deescalate following a major confrontation over the weekend tempering fears of a wider conflict in the Middle East But for people across the region any feelings of relief were undercut by a deeper sense of deadlock
87;nytimes;Tue Aug 27 14:30:18 +0000 2024;From In Netflixs Sign Stealer former Michigan staffer Connor Stalions wants you to believe hes a victim Hes not our columnist writes Hes an unreliable narrator who took the fall for the defending national champions
88;nytimes;Tue Aug 27 14:20:04 +0000 2024;The Israeli military said it rescued Farhan alQadi a 52yearold member of Israels Bedouin Arab minority who was taken hostage while working as a kibbutz security guard during Hamass Oct 7 attacks Hes been hospitalized in stable condition
89;nytimes;Tue Aug 27 14:15:05 +0000 2024;From This baseball season is approaching its final month And while great theater looms as division races are settled August also provided great intrigue We rank all 30 MLB clubs
90;nytimes;Tue Aug 27 14:00:10 +0000 2024;Despondent over the sale of the Long Island home where he lived with his mother Joseph DeLucia shot and killed his three siblings a niece and himself leaving one of the most horrific scenes I have ever seen the Nassau County Police commissioner said
91;nytimes;Tue Aug 27 13:20:04 +0000 2024;Mariah Careys mother and sister died on the same day over the weekend the pop star said Carey who has spoken and written extensively about her complicated relationship with her family said the deaths had led to an impossible time
92;nytimes;Tue Aug 27 13:10:07 +0000 2024;Strands is a word search with a unique twist Can you uncover the theme Play here
93;nytimes;Tue Aug 27 12:49:06 +0000 2024;Breaking News Israeli forces rescued a man taken hostage in the Hamasled attacks on Oct 7 during an operation in the Gaza Strip the Israeli military said on Tuesday Follow live
94;nytimes;Tue Aug 27 12:45:10 +0000 2024;From Colorado coach Deion Sanders partnered with a bank to open saving accounts for his players who have children The gift of 2121 each a nod to Sanders signature number was part of a presentation on the value of saving money over time
95;nytimes;Tue Aug 27 12:30:06 +0000 2024;When you drive into a ruined town its like hopelessness Russias powerful glide bombs can topple buildings The New York Times visited Ukrainian troops trying to hold positions under the bombardment
96;nytimes;Tue Aug 27 12:15:08 +0000 2024;Videos of cheerleaders for a Korean baseball team performing an ultrachill dance routine have taken over social media The moves are repetitive and unassuming the song addictively catchy beware Its a perfect recipe for flooding the algorithms
97;nytimes;Tue Aug 27 12:00:24 +0000 2024;How did you do in Connections today Players must select four groups of four words without making more than three mistakes
98;nytimes;Tue Aug 27 11:40:06 +0000 2024;From Americas oldest ballpark had not witnessed anything like what happened on Monday afternoon when Danny Jansen played for both teams in one game
